GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
io.zenwave360.sdk:zdl-jvm,io.zenwave360.zdl.antlr,ZdlParser.Relationship_definitionContext,22,45,2,2,5,10,7,7,5,7
io.zenwave360.sdk:zdl-jvm,io.zenwave360.zdl.antlr,ZdlParser.Enum_bodyContext,22,21,2,2,5,6,7,3,5,3
io.zenwave360.sdk:zdl-jvm,io.zenwave360.zdl.antlr,ZdlParser.Config_optionContext,2,33,2,2,1,8,3,5,1,5
io.zenwave360.sdk:zdl-jvm,io.zenwave360.zdl.antlr,ZdlParser.PluginsContext,13,21,2,2,3,6,5,3,3,3
io.zenwave360.sdk:zdl-jvm,io.zenwave360.zdl.antlr,ZdlParser.AnnotationsContext,8,25,2,2,2,7,4,4,2,4
io.zenwave360.sdk:zdl-jvm,io.zenwave360.zdl.antlr,ZdlParser.AggregateContext,43,39,2,2,9,9,11,6,9,6
io.zenwave360.sdk:zdl-jvm,io.zenwave360.zdl.antlr,ZdlParser.Field_initializationContext,7,27,2,2,2,7,4,4,2,4
io.zenwave360.sdk:zdl-jvm,io.zenwave360.zdl.antlr,ZdlParser.PairContext,7,33,2,2,2,8,4,5,2,5
io.zenwave360.sdk:zdl-jvm,io.zenwave360.zdl.antlr,ZdlParser.EventContext,29,33,2,2,6,8,8,5,6,5
io.zenwave360.sdk:zdl-jvm,io.zenwave360.zdl.antlr,ZdlParser.ConfigContext,19,21,2,2,4,6,6,3,4,3
io.zenwave360.sdk:zdl-jvm,io.zenwave360.zdl.antlr,ZdlParser.Relationship_field_minContext,17,27,2,2,4,7,6,4,4,4
io.zenwave360.sdk:zdl-jvm,io.zenwave360.zdl.antlr,ZdlParser.Plugin_configsContext,12,21,2,2,3,6,5,3,3,3
io.zenwave360.sdk:zdl-jvm,io.zenwave360.zdl.antlr,ZdlParser.Nested_field_validation_nameContext,22,21,2,2,5,6,7,3,5,3
io.zenwave360.sdk:zdl-jvm,io.zenwave360.zdl.antlr,ZdlParser.Api_bodyContext,18,21,2,2,4,6,6,3,4,3
io.zenwave360.sdk:zdl-jvm,io.zenwave360.zdl.antlr,ZdlModelValidator,194,980,23,111,16,121,19,69,1,20
io.zenwave360.sdk:zdl-jvm,io.zenwave360.zdl.antlr,ZdlParser.Plugin_options_inheritContext,33,0,4,0,9,0,8,0,6,0
io.zenwave360.sdk:zdl-jvm,io.zenwave360.zdl.antlr,ZdlParser.ArrayContext,27,25,2,2,6,7,8,4,6,4
io.zenwave360.sdk:zdl-jvm,io.zenwave360.zdl.antlr,ZdlModelPostProcessor,3,171,10,22,1,37,11,7,1,1
io.zenwave360.sdk:zdl-jvm,io.zenwave360.zdl.antlr,ZdlParser.OutputContext,29,33,2,2,6,8,8,5,6,5
io.zenwave360.sdk:zdl-jvm,io.zenwave360.zdl.antlr,ZdlParser.Enum_valueContext,17,45,2,2,4,10,6,7,4,7
io.zenwave360.sdk:zdl-jvm,io.zenwave360.zdl.antlr,ZdlParser.Api_configsContext,12,21,2,2,3,6,5,3,3,3
io.zenwave360.sdk:zdl-jvm,io.zenwave360.zdl.antlr,ZdlParser.Field_validationsContext,12,33,2,2,3,8,5,5,3,5
io.zenwave360.sdk:zdl-jvm,io.zenwave360.zdl.antlr,ZdlParser,2309,7475,105,220,647,1682,111,199,11,117
io.zenwave360.sdk:zdl-jvm,io.zenwave360.zdl.antlr,ZdlParser.ApiContext,24,45,2,2,5,10,7,7,5,7
io.zenwave360.sdk:zdl-jvm,io.zenwave360.zdl.antlr,ZdlParser.Service_method_parameter_naturalContext,23,0,4,0,7,0,6,0,4,0
