GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
io.github.zenwave360.zenwave-sdk:zdl-jvm,io.github.zenwave360.zdl.antlr,ZdlParser.Option_valueContext,2,27,2,2,1,7,3,4,1,4
io.github.zenwave360.zenwave-sdk:zdl-jvm,io.github.zenwave360.zdl.antlr,ZdlModelValidator,192,425,38,40,13,64,27,28,5,11
io.github.zenwave360.zenwave-sdk:zdl-jvm,io.github.zenwave360.zdl.antlr,ZdlListenerUtils,43,437,12,34,12,94,10,37,2,22
io.github.zenwave360.zenwave-sdk:zdl-jvm,io.github.zenwave360.zdl.antlr,ZdlParser.Entity_definitionContext,2,33,2,2,1,8,3,5,1,5
io.github.zenwave360.zenwave-sdk:zdl-jvm,io.github.zenwave360.zdl.antlr,ZdlParser.SimpleContext,22,42,2,2,5,10,7,7,5,7
io.github.zenwave360.zenwave-sdk:zdl-jvm,io.github.zenwave360.zdl.antlr,ZdlParser.Api_configsContext,12,21,2,2,3,6,5,3,3,3
io.github.zenwave360.zenwave-sdk:zdl-jvm,io.github.zenwave360.zdl.antlr,ZdlParser.Enum_valueContext,17,45,2,2,4,10,6,7,4,7
io.github.zenwave360.zenwave-sdk:zdl-jvm,io.github.zenwave360.zdl.antlr,ZdlParser.Policies_bodyContext,22,21,2,2,5,6,7,3,5,3
io.github.zenwave360.zenwave-sdk:zdl-jvm,io.github.zenwave360.zdl.antlr,ZdlParser.FieldContext,20,55,2,2,4,12,6,9,4,9
io.github.zenwave360.zenwave-sdk:zdl-jvm,io.github.zenwave360.zdl.antlr,ZdlParser.Relationship_definitionContext,18,33,2,2,4,8,6,5,4,5
io.github.zenwave360.zenwave-sdk:zdl-jvm,io.github.zenwave360.zdl.antlr,ZdlParser.RelationshipContext,7,33,2,2,2,8,4,5,2,5
io.github.zenwave360.zenwave-sdk:zdl-jvm,io.github.zenwave360.zdl.antlr,ZdlParser.Entity_table_nameContext,18,21,2,2,4,6,6,3,4,3
io.github.zenwave360.zenwave-sdk:zdl-jvm,io.github.zenwave360.zdl.antlr,ZdlParser.OptionContext,12,33,2,2,3,8,5,5,3,5
io.github.zenwave360.zenwave-sdk:zdl-jvm,io.github.zenwave360.zdl.antlr,ZdlParser.PluginContext,53,0,4,0,12,0,11,0,9,0
io.github.zenwave360.zenwave-sdk:zdl-jvm,io.github.zenwave360.zdl.antlr,ZdlParser.Service_method_events_orContext,37,25,2,2,8,7,10,4,8,4
io.github.zenwave360.zenwave-sdk:zdl-jvm,io.github.zenwave360.zdl.antlr,ZdlParser.Plugin_nameContext,38,0,4,0,10,0,9,0,7,0
io.github.zenwave360.zenwave-sdk:zdl-jvm,io.github.zenwave360.zdl.antlr,ZdlParser.ArrayContext,27,25,2,2,6,7,8,4,6,4
io.github.zenwave360.zenwave-sdk:zdl-jvm,io.github.zenwave360.zdl.antlr,ZdlParser.Entity_nameContext,8,21,2,2,2,6,4,3,2,3
io.github.zenwave360.zenwave-sdk:zdl-jvm,io.github.zenwave360.zdl.antlr,ZdlParser.Event_nameContext,7,21,2,2,2,6,4,3,2,3
io.github.zenwave360.zenwave-sdk:zdl-jvm,io.github.zenwave360.zdl.antlr,ZdlParser.ApisContext,13,21,2,2,3,6,5,3,3,3
io.github.zenwave360.zenwave-sdk:zdl-jvm,io.github.zenwave360.zdl.antlr,ZdlParser.Nested_fieldContext,28,25,2,2,6,7,8,4,6,4
io.github.zenwave360.zenwave-sdk:zdl-jvm,io.github.zenwave360.zdl.antlr,ZdlParser.Policie_valueContext,2,27,2,2,1,7,3,4,1,4
io.github.zenwave360.zenwave-sdk:zdl-jvm,io.github.zenwave360.zdl.antlr,ZdlParser.AnnotationsContext,8,25,2,2,2,7,4,4,2,4
io.github.zenwave360.zenwave-sdk:zdl-jvm,io.github.zenwave360.zdl.antlr,ZdlParser.Enum_value_nameContext,7,21,2,2,2,6,4,3,2,3
io.github.zenwave360.zenwave-sdk:zdl-jvm,io.github.zenwave360.zdl.antlr,ZdlParser.Relationship_toContext,2,39,2,2,1,9,3,6,1,6
io.github.zenwave360.zenwave-sdk:zdl-jvm,io.github.zenwave360.zdl.antlr,ZdlParser.Legacy_constantsContext,7,25,2,2,2,7,4,4,2,4
io.github.zenwave360.zenwave-sdk:zdl-jvm,io.github.zenwave360.zdl.antlr,ZdlParser.Nested_field_validationsContext,12,33,2,2,3,8,5,5,3,5
io.github.zenwave360.zenwave-sdk:zdl-jvm,io.github.zenwave360.zdl.antlr,ZdlParser.EventContext,29,33,2,2,6,8,8,5,6,5
io.github.zenwave360.zenwave-sdk:zdl-jvm,io.github.zenwave360.zdl.antlr,ZdlParser.OutputContext,29,33,2,2,6,8,8,5,6,5
io.github.zenwave360.zenwave-sdk:zdl-jvm,io.github.zenwave360.zdl.antlr,ZdlParser.Enum_bodyContext,22,21,2,2,5,6,7,3,5,3
io.github.zenwave360.zenwave-sdk:zdl-jvm,io.github.zenwave360.zdl.antlr,ZdlParser.Field_validation_nameContext,37,21,2,2,8,6,10,3,8,3
io.github.zenwave360.zenwave-sdk:zdl-jvm,io.github.zenwave360.zdl.antlr,ZdlParser.Service_method_nameContext,7,21,2,2,2,6,4,3,2,3
